reg_type,gd_type,init_type,momentum,lr,cv_mse,cv_r2
ridge,batch,zeros,False,0.0001,43.95549835704312,-63.06329961398755
ridge,batch,xavier,False,0.01,0.21680304842671258,0.6845558625702651
ridge,batch,xavier,False,0.001,0.7042023690420043,-0.024715510711916733
ridge,batch,xavier,False,0.0001,43.87837355100372,-62.97553846851681
ridge,mini,zeros,False,0.01,0.21382413936180028,0.6888460772701537
ridge,mini,zeros,False,0.001,0.7107421767731045,-0.03416571648815934
ridge,mini,zeros,False,0.0001,43.975606849933556,-63.0934823520749
ridge,mini,xavier,False,0.01,0.21449031495228926,0.6878834581473872
ridge,mini,xavier,False,0.001,0.7055641682433315,-0.02740579408145962
ridge,mini,xavier,False,0.0001,44.13671521009509,-63.32513827484895
ridge,stochastic,zeros,False,0.01,0.25517314554101056,0.6285303416736067
ridge,stochastic,zeros,False,0.001,0.5092893697342705,0.25867991702357074
ridge,stochastic,zeros,False,0.0001,44.26594998503699,-63.51187354232978
ridge,stochastic,xavier,False,0.01,0.2554912040981768,0.6279340985010992
